#class tools::wcsv::ntuple
#title Hits
#separator 44
#vector_separator 59
#column int det1
#column int det2
#column int det3
#column int det4
#column int det5
#column int det6
#column int det7
#column int det8
#column int det9
12042,12383,11705,16111,13946,12183,80429,15999,12052
11892,12354,11704,16112,14094,12201,80970,15917,11996
11808,12318,11594,15954,14109,12132,81108,16218,11844
11845,12169,11517,15783,14075,12178,81604,16071,11994
11583,12075,11511,15637,13740,12313,81631,16232,12171
11541,11943,11510,15781,14219,12219,82705,16062,11858
11805,12186,11433,15556,14186,11971,82804,15970,11618
11512,12165,11417,15516,14198,12077,83631,16121,11675
11531,11879,11373,15574,14044,12181,84044,16323,11817
11656,11949,11354,15750,13759,12232,84202,16124,11695
11389,12068,11332,15610,14026,12092,84780,16278,11602
11419,11875,11299,15692,13782,12081,85221,16204,11667
11235,11809,11420,15727,13758,11935,85728,16128,11684
11353,11827,11288,15440,13881,12067,86033,15951,11804
11095,11996,11388,15771,13855,11764,86319,16000,11679
11207,11870,11247,15883,13840,11988,86631,16011,11597
11244,11802,11009,15884,13850,11973,87044,15954,11628
11081,11646,11161,15821,14100,11917,87051,16356,11599
11285,11817,11179,15838,13825,11834,87926,16082,11577
11117,11651,11213,16057,13855,11698,87917,16150,11595
11079,11745,11021,16016,13917,11805,88355,16044,11636
11043,11597,11136,16004,13967,11681,88277,16201,11499
11066,11779,10981,16118,13759,11835,89215,15981,11448
11041,11774,11033,16028,13873,11538,89591,16028,11676
11108,11804,10900,16381,13984,11927,89501,16261,11513
11187,11471,11174,16202,13927,11769,89913,16192,11638
11150,11700,11275,16641,13895,11794,90151,16247,11632
10893,11668,11089,16572,13778,11941,90553,16135,11475
11136,11757,10954,16585,13706,12050,90759,16130,11589
10865,11810,11080,16886,13837,11741,91158,16073,11543
11018,11739,10982,16950,13760,11706,90764,16453,11593
11143,11553,10946,17111,13839,11654,91302,16438,11683
10989,11732,10974,17236,13837,11831,91621,16109,11539
11167,11771,10912,17625,13870,11717,91365,16107,11627
11037,11664,11071,17500,13860,11814,90989,16332,11455
11014,11857,10912,17722,14050,12011,91387,16117,11561
11144,11820,11091,17866,13957,11701,91112,16391,11675
10919,11580,10928,18120,14185,11691,91581,16237,11732
10941,11864,10954,18429,13985,11935,91227,16224,11585
10961,11754,11078,18100,13980,11854,90907,16279,11590
11054,11769,10839,18750,14000,11712,90749,16406,11694
10967,11581,11266,18982,14172,11846,89866,16515,11590
11167,11684,10959,19200,14176,11853,89621,16336,11592
11294,11820,10949,19722,14227,11715,89457,16290,11754
11024,11948,11067,19943,14128,11922,89441,16377,11692
11270,12050,10984,19936,14254,11792,88590,16416,11770
11217,11784,11148,20256,14277,11803,88501,16216,11748
11248,12060,11337,20648,14088,11913,88045,16236,11602
11212,12052,11003,21136,14373,11809,87294,16351,11542
11118,11858,11178,21469,14452,11919,86764,16319,11604
11399,12079,11075,21891,14282,11863,86037,16322,11879
11481,12062,11028,22231,14369,12001,85777,16340,11850
11411,11853,11098,22785,14471,11721,85114,16400,11518
11357,11703,10907,23310,14509,12182,84240,16397,11654
11645,12044,11201,23322,14583,12031,83360,16283,11754
11304,12162,11170,24373,14577,11959,82719,16248,11662
11223,12254,10979,24680,14312,12026,82155,16292,11715
11408,12020,11037,25671,14558,12009,81046,16219,11787
11309,12266,11274,26188,14445,11972,79917,16085,11788
11451,12204,11192,26958,14300,12021,78800,16102,11833
11523,12170,11097,27457,14473,11952,78245,16152,11732
11687,12245,11145,28140,14403,11983,77684,16045,11755
11621,12308,11209,29460,14528,11917,76279,16290,11672
11526,12332,11437,30164,14675,12126,74688,16244,11671
11845,12267,11076,31242,14717,11792,73979,16126,11705
11700,12289,11196,32153,14621,11939,72915,16087,11648
11848,12312,11097,33191,14687,12029,71720,16082,11624
11861,12550,11284,34105,14644,12213,70678,16031,11784
11807,12388,11246,34853,14616,12001,69288,16106,11813
11935,12517,11152,36244,14751,11868,68434,15965,11825
11813,12427,11286,36979,14643,12158,66847,16150,11764
11816,12576,11351,37891,14884,12115,65763,15979,11588
11942,12455,11160,39274,14934,12217,64642,15793,11903
12165,12632,11166,40401,14712,12028,63370,15768,11714
12333,12618,11322,41168,14888,12096,62413,15927,11570
12221,12789,11160,42402,14906,12084,60934,15737,11885
12254,12624,11488,43663,15042,12017,59055,15740,12033
12489,12641,11244,44378,14857,12010,58572,15811,11848
12462,12593,11434,46296,14900,12078,56410,15762,11898
12453,12596,11324,47313,14896,12111,55733,15562,11816
12312,12645,11410,48491,14999,11950,54036,15698,11879
12481,12816,11387,49804,14956,12202,52674,15734,11766
12544,12940,11307,50623,15096,12284,51410,15657,11869
12579,12925,11515,51662,15191,12202,50068,15641,11930
12757,12800,11346,53372,14821,12089,48918,15650,11855
12745,12869,11687,54249,15006,12304,47834,15386,11664
12850,12960,11376,55647,14860,12454,46491,15617,11908
13026,12804,11439,56762,15268,12160,45512,15319,11671
12997,12877,11326,57809,15081,12398,44345,15332,11864
13243,13201,11522,58834,15042,12020,43163,15455,11884
13170,13033,11424,60649,15099,12333,41806,15189,11697
13512,13198,11376,61637,15072,12067,40503,15295,11711
13612,13078,11587,62436,15040,12033,39209,15308,11860
13449,13133,11603,63613,15340,12135,38365,15442,11851
13669,13444,11504,64536,15105,12249,36999,15389,11931
13598,13301,11627,65142,15263,12355,36117,15063,11925
13581,13173,11647,67009,15153,12117,34844,15164,11785
13950,13132,11575,68198,15154,12114,33969,15312,11907
14169,13290,11550,68872,15172,12261,32894,15007,11746
14080,13568,11531,69898,15347,12154,31834,15019,11735
